timestamp,pid,type,workingSetMB
2026-09-05T11:03:52.7009086-07:00,8340,utility,53.24
2026-09-05T11:03:52.7114964-07:00,45576,utility,19.72
2026-09-05T11:03:52.7234344-07:00,30008,renderer,82.7
2026-09-05T11:03:52.7342648-07:00,38120,renderer,678.64
2026-09-05T11:03:52.7477551-07:00,34092,renderer,30.12
2026-09-05T11:03:53.7630282-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:53.7721243-07:00,9168,gpu-process,624.26
2026-09-05T11:03:53.7860705-07:00,8340,utility,53.24
2026-09-05T11:03:53.7984900-07:00,45576,utility,19.72
2026-09-05T11:03:53.8106056-07:00,30008,renderer,82.7
2026-09-05T11:03:53.8206044-07:00,38120,renderer,678.25
2026-09-05T11:03:53.8331779-07:00,34092,renderer,30.12
2026-09-05T11:03:54.8178849-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:54.8295592-07:00,9168,gpu-process,624.26
2026-09-05T11:03:54.8408617-07:00,8340,utility,53.24
2026-09-05T11:03:54.8508319-07:00,45576,utility,19.72
2026-09-05T11:03:54.8629386-07:00,30008,renderer,82.7
2026-09-05T11:03:54.8744544-07:00,38120,renderer,678.25
2026-09-05T11:03:54.8860575-07:00,34092,renderer,30.12
2026-09-05T11:03:55.9935389-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:56.0048164-07:00,9168,gpu-process,624.26
2026-09-05T11:03:56.0170251-07:00,8340,utility,53.24
2026-09-05T11:03:56.0300885-07:00,45576,utility,19.72
2026-09-05T11:03:56.0461246-07:00,30008,renderer,82.7
2026-09-05T11:03:56.0742648-07:00,38120,renderer,678.34
2026-09-05T11:03:56.0923981-07:00,34092,renderer,30.12
2026-09-05T11:03:57.1714006-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:57.1891395-07:00,9168,gpu-process,624.26
2026-09-05T11:03:57.1992079-07:00,8340,utility,53.24
2026-09-05T11:03:57.2173655-07:00,45576,utility,19.72
2026-09-05T11:03:57.2321020-07:00,30008,renderer,82.7
